Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Day,Is_Weekend
98814.94,-186.42438,-15058.908,2468.562,-58332.797,64765.47,2536.7244,4788.29,-31768.52,11456.162,0.0
170769.64,663.14636,35422.81,8437.907,147884.12,19080.115,-461.67432,13813.418,-16115.931,-14394.773,0.0
813581.44,1300.853,5985.267,-191.74374,-45567.758,67134.6,-212.43922,-1771.5427,-38895.43,-31600.926,0.0
-184376.77,291.12527,-25680.053,2953.9463,142829.89,14706.397,-1887.3024,4189.918,-23138.809,9438.493,0.0
-611460.6,326.71664,5064.73,2483.5356,-5095.8154,27982.758,800.41943,8128.7563,-18441.627,312.02237,0.0
-129702.31,572.31586,4977.184,2932.4631,41977.555,16642.264,-804.97266,6168.9136,-22408.168,11338.803,0.0
280694.5,686.0779,4405.63,3783.5906,76130.19,-50300.293,1168.3157,-14976.976,-16927.037,73445.75,0.0
312922.78,816.2775,4565.4395,-1725.7441,-12820.243,-313093.28,2836.8633,7797.869,-18564.447,56080.195,0.0
775038.2,1217.0505,4923.3535,-3007.784,101626.375,91784.87,1168.7837,3812.5464,-50036.703,-66607.84,0.0
314515.1,800.4026,8339.34,-4035.1975,-13780.473,-312389.66,-3102.6775,6253.2974,-28341.652,24079.61,0.0
-81656.83,122.1427,10207.8125,1063.1608,-337091.22,32142.38,-218.97739,9652.852,-32887.812,-1994.448,0.0
-168836.1,843.5669,3993.3054,2848.2666,-270658.16,-46563.37,108.44785,9479.932,-37493.234,-8525.308,0.0
732584.4,139.65788,-24089.168,-12689.374,90072.9,78130.01,-232.06535,2736.4731,-45664.45,11660.735,0.0
106983.1,480.07462,417.92554,-16123.173,-264647.5,-4023.7346,1566.2208,7842.9893,-12402.688,34482.09,0.0
-122198.68,267.00043,15568.944,-8118.7363,66580.12,-16.051666,-2158.9314,8936.835,-20712.533,735.9269,0.0
-146085.9,581.66943,7134.5015,-428.15894,136274.45,17967.508,-1697.1381,6970.1934,-45386.953,-18311.12,0.0
-357573.88,914.76605,23385.223,14344.7705,-56810.12,22689.008,2274.2295,14552.383,-22568.617,-11950.435,0.0
-268868.0,21.231993,3386.4534,1322.8914,35607.773,33675.855,-953.9628,-3428.3643,-9327.029,-2351.4612,0.0
-391431.12,7006.9775,-417.67236,-481.66614,-88924.89,21697.89,-1038.1654,-8700.109,-12230.621,26301.234,0.0
-95291.74,-648.94434,-31114.385,6305.4946,-349963.12,27365.361,-1874.1111,-46828.89,-1563.5907,-13878.031,0.0
-396206.1,150.86249,348.3745,1458.8428,119061.695,11588.257,-49.6275,8102.7363,-33537.99,2952.5864,0.0
-308428.72,290.71896,5758.927,4241.141,-240196.55,-46661.0,1271.9608,8679.662,13316.641,13048.778,0.0
578611.44,1674.2817,9717.264,-11454.708,376805.2,133010.17,1939.1897,-441.99973,234848.66,-134990.08,0.0
-123813.13,327.56296,-3073.1418,-18582.594,56602.598,1510.766,-1360.4337,-1743.125,-36161.63,-38163.54,0.0
314549.3,729.10803,9344.706,3882.5703,-24906.383,-308153.44,-466.34167,13341.618,-10319.519,-1209.1008,0.0
512540.6,-109.79469,2363.96,-8640.586,340032.25,95860.32,3274.3447,11477.849,-24149.361,7940.3037,0.0
